date,username,text,party,labels,year,era,is_edge_case,pred_leaning,pred_stance,confidence,reasoning,raw_response,parse_error,triage_action,mode
2022-10-27 14:58:56,RepAndyKimNJ,"Four years ago, hate and violence stole 11 lives at a Pittsburgh synagogue.

We cannot pretend antisemitism only li…",Democrat,1,2022,biden-era,False,Democrat,Establishment,45,"The tweet addresses antisemitism and a mass shooting tragedy, themes more commonly emphasized by Democratic senators, though the incomplete nature limits classification confidence.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet addresses antisemitism and a mass shooting tragedy, themes more commonly emphasized by Democratic senators, though the incomplete nature limits classification confidence.""
}",False,flag_for_review,zero-shot
2021-12-25 03:07:57,RogerMarshallMD,"Despite the recent hardships in Paradise, KS, it still looks like Christmas:",Republican,0,2021,biden-era,False,Republican,Establishment,25,The tweet lacks sufficient political content to make a confident classification; it appears to be a benign observation about a Kansas town during the holiday season.,"{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet lacks sufficient political content to make a confident classification; it appears to be a benign observation about a Kansas town during the holiday season.""
}",False,flag_for_review,zero-shot
2021-07-30 12:00:00,SenKevinCramer,"Excellent news out of  this week! We voted to advance several bills Ive been working on which would help WWII veterans, veterans in rural areas, veterans transitioning back into civilian life, and more. Get the details here",Republican,0,2021,biden-era,False,Republican,Establishment,45,"Focus on veterans' issues and legislative advancement suggests establishment-oriented senator, but partisan lean is difficult to determine without additional context or identifying information.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""Focus on veterans' issues and legislative advancement suggests establishment-oriented senator, but partisan lean is difficult to determine without additional context or identifying information.""
}",False,flag_for_review,zero-shot
2022-10-20 21:43:35,RepCuellar,"Today, I hosted a webinar on federal funding for local law enforcement with officials from    and…",Democrat,1,2022,biden-era,False,Republican,Establishment,25,"Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.""
}",False,flag_for_review,zero-shot
2021-10-05 13:53:39,SenatorRomney,"Receiving this terrible news with a heavy heart. My prayers are with Mafatinis family, teammates, and friends.",Republican,0,2021,biden-era,True,Unknown,Unknown,5,"This is a condolence message about someone's death that contains no political content, policy positions, or partisan language.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 5,
  ""reasoning"": ""This is a condolence message about someone's death that contains no political content, policy positions, or partisan language.""
}",False,flag_for_review,zero-shot
2021-03-25 01:30:07,SenatorCollins,The current application deadline for PPP is March just days away. I spoke from the Senate floor today to urge my colleagues to quickly pass bipartisan legislation Im co-leading to extend the deadline to apply to May and give SBA more time to process loans.,Republican,0,2021,biden-era,True,Republican,Establishment,45,"Support for PPP extension and bipartisan legislative cooperation suggests establishment orientation, but Republican lean is uncertain without party affiliation context.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""Support for PPP extension and bipartisan legislative cooperation suggests establishment orientation, but Republican lean is uncertain without party affiliation context.""
}",False,flag_for_review,zero-shot
2021-02-18 17:37:53,MartinHeinrich,Excited for the #CountdownToMars like I am? Fun fact: The SuperCam on the  was developed by  - right here in New Mexico! Cheers to the future of space being created by the best and brightest in NM and  be sure to watch history at:,Democrat,1,2021,biden-era,False,Democrat,Establishment,45,"The tweet focuses on space exploration and local economic development in New Mexico, themes common to both parties, but the enthusiastic celebration of government-funded scientific achievement leans slightly toward Democratic messaging.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet focuses on space exploration and local economic development in New Mexico, themes common to both parties, but the enthusiastic celebration of government-funded scientific achievement leans slightly toward Democratic messaging.""
}",False,flag_for_review,zero-shot
2021-07-26 20:58:49,SenSherrodBrown,"Today marks the st anniversary of the Americans with Disabilities Act. As we celebrate our progress, let us reaffirm that #DisabilityRights are human rights and recommit ourselves to increasing accessibility for all. #ADA31",Democrat,1,2021,biden-era,True,Democrat,Establishment,45,"The tweet emphasizes disability rights and accessibility as human rights, which aligns more with Democratic values, though this is a nonpartisan issue that both parties support.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet emphasizes disability rights and accessibility as human rights, which aligns more with Democratic values, though this is a nonpartisan issue that both parties support.""
}",False,flag_for_review,zero-shot
2023-01-19 14:36:10,RepMariaSalazar,"🚨 ICYMI: This morning, I joined  on  to discuss the crisis at the Southern Border and…",Republican,0,2023,biden-era,False,Republican,Establishment,45,"The focus on Southern Border crisis is a typical Republican concern, but the incomplete nature of the tweet and lack of populist language suggests establishment positioning, though confidence is moderate due to limited information.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The focus on Southern Border crisis is a typical Republican concern, but the incomplete nature of the tweet and lack of populist language suggests establishment positioning, though confidence is moderate due to limited information.""
}",False,flag_for_review,zero-shot
2022-10-26 20:43:44,RepGregStanton,Technology is improving the way law enforcement protects and serves our community—and it's innovative companies lik…,Democrat,1,2022,biden-era,False,Republican,Establishment,35,"The tweet's pro-technology and pro-business framing suggests Republican alignment, but the incomplete nature and focus on law enforcement service makes confidence low without more context.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet's pro-technology and pro-business framing suggests Republican alignment, but the incomplete nature and focus on law enforcement service makes confidence low without more context.""
}",False,flag_for_review,zero-shot
2022-12-14 14:21:43,RepBenCline,It was a privilege to honor our local Fincastle Volunteer Fire Department on its 75th anniversary. Since its beginn…,Republican,0,2022,biden-era,False,Republican,Establishment,35,"The tweet celebrates a local volunteer fire department anniversary, which is non-partisan constituent service that both parties engage in, making confident classification difficult.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet celebrates a local volunteer fire department anniversary, which is non-partisan constituent service that both parties engage in, making confident classification difficult.""
}",False,flag_for_review,zero-shot
2022-10-13 21:05:59,RepBrownley,As we celebrate the 247th birthday of the  we honor those who have served in the Sailor’s uniform. We are f…,Democrat,1,2022,biden-era,False,Republican,Establishment,25,"This patriotic tweet celebrating Independence Day and military service is too generic to classify with confidence, as both parties honor veterans and the nation's birthday.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This patriotic tweet celebrating Independence Day and military service is too generic to classify with confidence, as both parties honor veterans and the nation's birthday.""
}",False,flag_for_review,zero-shot
2022-11-28 17:08:26,RepRubenGallego,"We don't have a democracy if an election is only fair if your team wins.

I will always stand for free and fair ele…",Democrat,1,2022,biden-era,False,Republican,Populist,65,"The tweet's framing of election fairness as contingent on outcome and invocation of populist 'fair elections' rhetoric aligns with Republican messaging, though the sentiment could appeal across the spectrum.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 65,
  ""reasoning"": ""The tweet's framing of election fairness as contingent on outcome and invocation of populist 'fair elections' rhetoric aligns with Republican messaging, though the sentiment could appeal across the spectrum.""
}",False,flag_for_review,zero-shot
2021-01-27 21:21:57,SenBlumenthal,"The horrors of the Holocaust must never be forgotten. Today, on the th anniversary of Auschwitz-Birkenaus liberation, #WeRemember the millions of Jews and  others who fell victim to Nazi atrocities and  recommit to rooting out anti-Semitismand  all forms of hate.",Democrat,1,2021,biden-era,False,Democrat,Establishment,45,"The tweet focuses on Holocaust remembrance and condemning antisemitism, which is a bipartisan concern, but the framing and emphasis on rooting out hate is slightly more aligned with Democratic messaging on social issues.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet focuses on Holocaust remembrance and condemning antisemitism, which is a bipartisan concern, but the framing and emphasis on rooting out hate is slightly more aligned with Democratic messaging on social issues.""
}",False,flag_for_review,zero-shot
2023-02-16 17:34:29,RepHouchin,Today’s first visit in Seymour was  new factory. Indiana’s manufacturing friendly state influenced th…,Republican,0,2023,biden-era,False,Republican,Populist,35,"The tweet emphasizes manufacturing and state-level economic development in Indiana, which aligns with Republican messaging, but limited text makes classification low-confidence.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet emphasizes manufacturing and state-level economic development in Indiana, which aligns with Republican messaging, but limited text makes classification low-confidence.""
}",False,flag_for_review,zero-shot
2021-03-25 17:08:49,SenBlumenthal,Always grateful to  and  her husband Mike for their brave advocacy.,Democrat,1,2021,biden-era,False,Democrat,Populist,35,"The tweet expresses gratitude for advocacy work, but lacks sufficient partisan or ideological content for confident classification without knowing the specific individuals being referenced.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet expresses gratitude for advocacy work, but lacks sufficient partisan or ideological content for confident classification without knowing the specific individuals being referenced.""
}",False,flag_for_review,zero-shot
2021-08-20 18:10:34,SenJohnHoeven,"The  greenhouse is just one example of the ways Jack has worked to grow North Dakotas leadership in all things agriculture, and its fitting that this facility now bears his name. I appreciate the many years weve had working together on projects just like this.",Republican,0,2021,biden-era,False,Republican,Establishment,45,"The tweet references North Dakota agriculture and collaborative bipartisan work, suggesting a centrist establishment Republican, though the vague nature limits confidence.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet references North Dakota agriculture and collaborative bipartisan work, suggesting a centrist establishment Republican, though the vague nature limits confidence.""
}",False,flag_for_review,zero-shot
2022-09-08 17:37:42,RepGregMurphy,The United Kingdom has lost a beloved and respected ruler. Our prayers are with our allies today as they mourn the…,Republican,0,2022,biden-era,False,Republican,Establishment,35,"The tweet expresses respectful condolences for a deceased UK monarch with diplomatic language typical of establishment politicians, but lacks partisan indicators to determine party affiliation with high confidence.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet expresses respectful condolences for a deceased UK monarch with diplomatic language typical of establishment politicians, but lacks partisan indicators to determine party affiliation with high confidence.""
}",False,flag_for_review,zero-shot
